107.00,144,0993846
108.00,143,0120735
109.00,142,1305806
110.00,141,0081398
110.50,B22,
111.00,140,0457430
112.00,139,0091251
113.00,138,0112641
114.00,137,0042192
115.00,136,0268978
115.50,B23,
116.00,135,0089881
117.00,134,0096283
118.00,133,0057115
119.00,132,0347149
120.00,131,0053291
120.50,B24,
121.00,130,1950186
122.00,129,0118849
123.00,128,0363163
124.00,127,6966692
125.00,126,0105695
125.50,B25,
126.00,125,0055630
127.00,124,0372784
128.00,123,0095016
129.00,122,0042876
130.00,121,0113277
130.50,B26,
131.00,120,0071853
132.00,119,0119488
133.00,118,1255953
134.00,117,1049413
135.00,116,0097576
135.50,B27,
136.00,115,0053604
137.00,114,0056592
138.00,113,0044741
139.00,112,0036775
140.00,111,1832382
140.50,B28,
141.00,110,8267604
142.00,109,0059578
143.00,108,0017136
144.00,107,0070735
145.00,106,0435761
145.50,B29,
146.00,105,0056172
147.00,104,0075314
148.00,103,0045152
149.00,102,0086250
150.00,101,0211915
150.50,B30,
151.00,100,0040522
152.00,99,0012349
153.00,98,0208092
154.00,97,0066921
155.00,96,0053125
155.50,B31,
156.00,95,0093058
157.00,94,2106476
158.00,93,0033467
159.00,92,0338013
160.00,91,5074352
160.50,B32,
161.00,90,0052357
162.00,89,0180093
163.00,88,0062622
164.00,87,0022100
165.00,86,0119217
165.50,B33,
166.00,85,0361748
167.00,84,0105236
168.00,83,0086879
169.00,82,0114709
170.00,81,0986264
170.50,B34,
171.00,80,0086190
172.00,79,1187043
173.00,78,0082096
174.00,77,0112573
175.00,76,2380307
175.50,B35,
176.00,75,0169547
177.00,74,5311514
178.00,73,0090605
179.00,72,0087843
180.00,71,1345836
180.50,B36,
181.00,70,0051201
182.00,69,0364569
183.00,68,0057012
184.00,67,0119698
185.00,66,0043014
185.50,B37,
186.00,65,0910970
187.00,64,4633694
188.00,63,0050825
189.00,62,0081505
190.00,61,4154756
190.50,B38,
191.00,60,1853728
192.00,59,4154796
193.00,58,0405094
194.00,57,0032553
195.00,56,0209144
195.50,B39,
196.00,55,0078788
197.00,54,0082971
198.00,53,0078748
199.00,52,0095765
200.00,51,0047396
200.50,B40,
201.00,50,0095327
202.00,49,0034583
203.00,48,0482571
204.00,47,0064116
205.00,46,2582802
205.50,B41,
206.00,45,0407887
207.00,44,0021749
208.00,43,1675434
209.00,42,0172495
210.00,41,0054215
210.50,B42,
211.00,40,0027977
212.00,39,0253474
213.00,38,0103064
214.00,37,0088763
215.00,36,0120586
215.50,B43,
216.00,35,0110357
217.00,34,0114814
218.00,33,0056058
219.00,32,0110413
220.00,31,0816692
220.50,B44,
221.00,30,0120689
222.00,29,6751668
223.00,28,0245429
224.00,27,0120815
225.00,26,7286456
225.50,B45,
226.00,25,0076759
227.00,24,0038650
228.00,23,0102926
229.00,22,0118799
230.00,21,0317248
230.50,B46,
231.00,20,0114369
232.00,19,0047478
233.00,18,0073486
234.00,17,0099685
235.00,16,0133093
235.50,B47,
236.00,15,0167261
237.00,14,0080684
238.00,13,1375666
239.00,12,0109830
240.00,11,0120737
240.50,B48,
241.00,10,0137523
242.00,9,0060196
243.00,8,0110912
244.00,7,0167260
245.00,6,0108052
245.50,B49,
246.00,5,0050083
247.00,4,0468569
248.00,3,0071562
249.00,2,0068646
250.00,1,0111161
